,user_id,username,following,followers
0,0,HoPeFuuL_lAdY,393,230
1,1,basiladidier1,63,86
2,2,RexPoliticum,46,5
3,3,babs_corp,212,47
4,4,jean_louis08,2020,453
5,5,pamp69,3966,5103
6,6,grizzly25110512,6,1
7,7,JamesHogaboam,44,10
8,8,ramsey_gyimah,1367,2227
9,9,GaryBeighton7,7,1627
10,10,nde_bd,206,664
11,11,PresseMondial,1221,5780
12,12,Mathias8Wolf,550,124
13,13,L_Lafon,1322,5062
14,14,radiolondres6,0,2091
15,15,Antho_Vnn,815,3397
16,16,UvyMordicante,3562,1204
17,17,lisekhafi77,172,75
18,18,ChineKep,100,122
19,19,Ilprim2,70,10
20,20,LaurentLeemans,90,130
21,21,VN_ZotAni,1015,11363
22,22,liljess9714,481,582
23,23,quentin__dst,343,219
24,24,ntang_georges,306,713
25,25,moicestFranck,1050,508
26,26,MacaireAvom,234,367
27,27,DominiqueReynie,2585,61579
28,28,camdmgs,200,262
29,29,netchys,371,5395
30,30,JanPieM,1184,1313
31,31,IRFMx,1453,5602
32,32,axnslash,432,888
33,33,CVLow61,712,262
34,34,suvelor,1276,392
35,35,LnFranco71,8435,18475
36,36,CyrilSteenwerc1,3832,135
37,37,naad_954,731,462
38,38,Steven34Mtp,73,168
39,39,willy_roy,507,243
40,40,laura_dcstaa,529,888
41,41,LaFrancedabord6,341,579
42,42,k08me,276,149
43,43,_Doudoune_,407,1333
44,44,kevgeii,325,263
45,45,dessouvre,482,353
46,46,MinouLarissa,718,850
47,47,TheRealGiiinger,273,612
48,48,StianOby,457,1039
49,49,KingRMSecretary,217,145
50,50,KaynLincurve,851,55
51,51,anonymeduweb01,56,823
52,52,MSonkei,526,46
53,53,pankopter,1453,736
54,54,JanPieM,1184,1313
55,55,wargonm,958,44305
56,56,pedroguanaes,2551,970
57,57,AurelieCalaf,873,109
58,58,GrintaEl,174,38
59,59,Daouda_Rdn,193,295
60,60,Mtopmea,720,353
61,61,emnana20,279,151
62,62,alice__hzl,232,547
63,63,ange_male,35,531
64,64,JeanTimand,2379,1662
65,65,olivdeso,18,3
66,66,grillierre,325,561
67,67,iamcct_,268,504
68,68,Nayel91804816,97,16
69,69,EnPenteDouce,186,36
70,70,GTAFRCJ,152,277
71,71,BZHWILLI29,148,93
72,72,Steven34Mtp,73,168
73,73,tinsmarrr,133,69
74,74,Hugo_I3,127,45
75,75,dessouvre,482,353
76,76,sarahbahri7,393,513
77,77,oldfashioneded,5001,439
78,78,actuspherelb,2624,589
79,79,AxelJoly,891,5965
80,80,mokamoto17,9,2
81,81,ReganTarriot,161,114
82,82,DamXam2,281,213
83,83,Lyamya_,139,268
84,84,JVLIVHS,506,295
85,85,PRebanne,2162,1627
86,86,nonranista,711,339
87,87,christian09a73,535,469
88,88,Sagan37575769,2945,197
89,89,_vivien____,462,201
90,90,ArabNewsfr,76,41011
91,91,grillierre,325,561
92,92,AEP_TWITT,2230,50
93,93,RAIZON00212,353,232
94,94,ApollineDchamp,1230,1339
95,95,Mamadou50900118,78,2
96,96,CapHornier_,819,19485
97,97,ALaiNbAgO,1706,11364
98,98,cailloutiam,31,148
99,99,yungkotatsu_ov,268,337
100,100,djedge1,1507,1418
101,101,Gvvcouraud,346,1114
102,102,Jazzy47994207,582,145
103,103,JeromeFeryn,715,364
104,104,Jo_Le_Faransavi,428,556
105,105,OnizukaLPOR,519,23
106,106,lyaslyas,21,11
107,107,Yaoda__,14,21
108,108,yopaNjeunga,247,1289
109,109,choariva,602,1194
110,110,david_bdt_,472,110
111,111,Doudza2,677,392
112,112,AbdelBylkaDZ,688,10
113,113,zhhjdjejd,807,368
114,114,youngprettysoul,205,368
115,115,galien370171,280,29
116,116,BrevesEt,19,5
117,117,onaninho,137,132
118,118,Ratel_Tel,2278,1096
119,119,ltgwenhael,115,17
120,120,dessouvre,482,353
121,121,InBobweTrust__,184,585
122,122,Arcky_Sensei,8,41
123,123,Marie_Machinka,1124,635
124,124,charlottesarrah,1156,177
125,125,InTheAir81,626,1501
126,126,adgjlkhfsxz,2031,21
127,127,doud57100,409,611
128,128,FUMERYD,3854,4297
129,129,nasayzi,60,54
130,130,LeBoulet75,306,126
131,131,arkas1971,11200,12085
